sale_id,date,day_of_week,product_name,category,size,color,quantity_sold,price (Rs.),discount (%),total_amount (Rs.),payment_method,customer_gender,age_group,store_section
S001,2023-10-01,Sunday,Leather Belt,Accessories,S,Red,1,299,30,209,Cash,Female,Teen (13-19),Accessories
S002,2023-10-02,Monday,Slim Fit Jeans,Bottoms,M,Navy Blue,1,999,0,999,Card,Male,Adult (31-45),Men
S003,2023-10-04,Wednesday,Basic White T-Shirt,Tops,M,Red,2,399,0,798,Cash,Female,Adult (31-45),Men
S004,2023-10-04,Wednesday,Floral Kurti,Ethnic Wear,L,Navy Blue,1,799,0,799,UPI,Female,Teen (13-19),Women
S005,2023-10-05,Thursday,Running Shoes,Footwear,XL,Black,1,1499,0,1499,Card,Female,Adult (31-45),Men
S006,2023-10-06,Friday,Party Wear Gown,Ethnic Wear,S,White,1,2499,20,1999,Cash,Female,Senior (46+),Women
S007,2023-10-06,Friday,Leather Belt,Accessories,M,Red,1,299,50,150,Card,Female,Teen (13-19),Accessories
S008,2023-10-07,Saturday,Leather Belt,Accessories,M,Neon Green,1,299,50,150,UPI,Other,Young Adult (20-30),Accessories
S009,2023-10-08,Sunday,Oversized Hoodie,Tops,L,White,2,1199,10,2158,UPI,Male,Young Adult (20-30),Women
S010,2023-10-09,Monday,Running Shoes,Footwear,L,White,1,1499,0,1499,Card,Female,Adult (31-45),Men
S011,2023-10-09,Monday,Kids Denim Jacket,Tops,L,Neon Green,1,899,10,809,UPI,Male,Young Adult (20-30),Kids
S012,2023-10-10,Tuesday,Slim Fit Jeans,Bottoms,S,Neon Green,5,999,0,4995,Card,Male,Senior (46+),Men
S013,2023-10-11,Wednesday,Basic White T-Shirt,Tops,M,Olive,2,399,0,798,Card,Male,Adult (31-45),Men
S014,2023-10-12,Thursday,Basic White T-Shirt,Tops,M,White,1,399,20,319,Card,Male,Young Adult (20-30),Men
S015,2023-10-13,Friday,Slim Fit Jeans,Bottoms,L,Neon Green,1,999,0,999,UPI,Female,Teen (13-19),Men
S016,2023-10-14,Saturday,Basic White T-Shirt,Tops,M,Red,2,399,10,718,UPI,Male,Young Adult (20-30),Men
S017,2023-10-15,Sunday,Oversized Hoodie,Tops,S,Black,2,1199,20,1918,Card,Female,Young Adult (20-30),Women
S018,2023-10-16,Monday,Oversized Hoodie,Tops,M,Olive,2,1199,0,2398,Cash,Female,Young Adult (20-30),Women
S019,2023-10-18,Wednesday,Leather Belt,Accessories,M,Olive,1,299,50,150,Cash,Male,Young Adult (20-30),Accessories
S020,2023-10-19,Thursday,Slim Fit Jeans,Bottoms,L,Navy Blue,1,999,20,799,UPI,Male,Adult (31-45),Men
S021,2023-10-19,Thursday,Basic White T-Shirt,Tops,L,Neon Green,2,399,0,798,UPI,Male,Senior (46+),Men
S022,2023-10-20,Friday,Floral Kurti,Ethnic Wear,S,Black,1,799,0,799,Card,Male,Teen (13-19),Women
S023,2023-10-20,Friday,Party Wear Gown,Ethnic Wear,L,Navy Blue,1,2499,0,2499,UPI,Male,Young Adult (20-30),Women
S024,2023-10-20,Friday,Floral Kurti,Ethnic Wear,XL,Black,2,799,10,1438,Cash,Male,Teen (13-19),Women
S025,2023-10-21,Saturday,Oversized Hoodie,Tops,XL,White,1,1199,0,1199,UPI,Female,Young Adult (20-30),Women
S026,2023-10-21,Saturday,Oversized Hoodie,Tops,M,Black,1,1199,0,1199,Card,Other,Senior (46+),Women
S027,2023-10-21,Saturday,Floral Kurti,Ethnic Wear,XL,Olive,1,799,0,799,UPI,Male,Senior (46+),Women
S028,2023-10-21,Saturday,Oversized Hoodie,Tops,M,Olive,1,1199,0,1199,Card,Male,Young Adult (20-30),Women
S029,2023-10-21,Saturday,Oversized Hoodie,Tops,L,Olive,1,1199,0,1199,UPI,Female,Adult (31-45),Women
S030,2023-10-22,Sunday,Floral Kurti,Ethnic Wear,L,White,1,799,0,799,Card,Male,Adult (31-45),Women
S031,2023-10-23,Monday,Oversized Hoodie,Tops,XS,Olive,3,1199,20,2878,Cash,Female,Adult (31-45),Women
S032,2023-10-23,Monday,Basic White T-Shirt,Tops,S,White,1,399,0,399,Card,Female,Teen (13-19),Men
S033,2023-10-25,Wednesday,Oversized Hoodie,Tops,S,White,1,1199,10,1079,Card,Female,Adult (31-45),Women
S034,2023-10-25,Wednesday,Floral Kurti,Ethnic Wear,M,Neon Green,1,799,0,799,UPI,Male,Teen (13-19),Women
S035,2023-10-25,Wednesday,Basic White T-Shirt,Tops,M,Navy Blue,1,399,0,399,UPI,Male,Senior (46+),Men
S036,2023-10-26,Thursday,Basic White T-Shirt,Tops,XS,Navy Blue,2,399,0,798,Cash,Female,Adult (31-45),Men
